代码,当前价,板块,总分,历史位置,近期涨幅,相对强度,资金流向,筹码分布,技术指标,热榜,RSI,量比,3日涨%,7日涨%,15日涨%,150日高距今天,当前/高点%,获利盘%,15日主力流入万
601789,6.11,房屋建设Ⅱ,50.01,13.7,11.15,13.0,1.0,6.72,4.44,0.0,59.25,0.72,-18.32,11.29,15.94,5,76.4,50.12,-32713.0
000537,11.68,电力,44.11,14.75,7.66,13.0,1.0,4.5,3.2,0.0,75.39,1.45,-6.63,25.73,33.79,4,84.9,50.38,-56429.0
002298,12.06,电网设备,41.96,3.31,12.14,12.29,4.6,5.72,3.9,0.0,61.18,0.57,-9.19,9.84,11.36,172,80.5,17.28,-21404.0

002445,-1.0
605268,-1.0
002167,-1.0
002445,3.7,通用设备,49.66,13.7,5.58,13.0,6.7,4.52,4.16,2.0,66.44,1.0,-9.31,33.09,39.1,1,77.6,5.61,-30662.0
605268,12.52,"{'ind_code': 'BK0039', 'ind_name': '家居用品'}",40.26,11.75,6.11,9.4,1.0,5.0,5.0,2.0,56.1,1.0,-13.42,-10.19,9.06,6,67.5,-,-18311.0
002167,13.43,"{'ind_code': 'BK0070', 'ind_name': '小金属'}",33.41,12.8,4.28,3.33,1.0,5.0,5.0,2.0,43.81,1.0,-7.19,-11.29,-0.81,12,80.9,-,-5413.0
002445,3.7,通用设备,50.14,13.7,5.58,13.0,6.7,5.0,4.16,2.0,66.44,1.0,-9.31,33.09,39.1,1,77.6,-,-30662.0
605268,12.52,家居用品,43.86,11.75,6.11,13.0,1.0,5.0,5.0,2.0,56.1,1.0,-13.42,-10.19,9.06,6,67.5,-,-18311.0
002167,13.43,小金属,37.01,12.8,4.28,6.93,1.0,5.0,5.0,2.0,43.81,1.0,-7.19,-11.29,-0.81,12,80.9,-,-5413.0
